judul,judul_slug,author,penerbit,isbn,bahasa,jumlah_halaman,isBestSeller,original_rating,adjusted_rating,rating_count,review_count,kategori
Duet,duet,Angela M;Angela Marchelin,Haru,9786027742086,Indonesia,222,0,3.41,3,61,,fiksi_sastra
CHOCOLATE GIRL,conf-chocolate-girl,Nurul Fajria,Mizan,9786028851824,Indonesia,128,0,2.0,2,1,,fiksi_sastra
Dayang Sumbi Yang Pintar (Kisah Sangkuriang),conf-dayang-sumbi-yang-pintar-kisah-sangkuriang,Ali Muakhir,Serambi Ilmu Semesta,9789791411035,Indonesia,36,0,3.75,4,4,1.0,fiksi_sastra
Dimana Ada Cinta Di Sana Tuhan ada,conf-dimana-ada-cinta-di-sana-tuhan-ada,Leo Tolstoy,Serambi Ilmu Semesta,9789790242401,Indonesia,,0,3.66,4,70,17.0,fiksi_sastra
Cyber Adventure,conf-cyber-adventure,Sri Izzati Dkk.;Sri Izzati Dkk.,Mizan,9789790660687,Indonesia,112,0,3.73,4,37,,fiksi_sastra
Delapan Sisi,conf-delapan-sisi,Adityarakhman Dkk;Adityarakhman Dkk,Mizan,9786029481440,Indonesia,182,0,3.27,3,78,24.0,fiksi_sastra
Classic Love Story - The Great Gatsby,conf-classic-love-story-the-great-gatsby,F. Scott Fitzgerald,Serambi Ilmu Semesta,9789790241923,Indonesia,288,0,3.93,4,4628451,,fiksi_sastra
Cinta Yang Hilang,conf-cinta-yang-hilang,O. Henry,Serambi Ilmu Semesta,9789790242418,Indonesia,120,0,3.65,4,78,30.0,fiksi_sastra
ASHLEY ADVENTURE,conf-ashley-adventure,Alline,Mizan,9789797528607,Indonesia,130,0,3.43,3,7,,fiksi_sastra
Anak Arloji,conf-anak-arloji,Kurnia Effendi,Serambi Ilmu Semesta,9780790243514,Indonesia,239,0,3.47,3,51,9.0,fiksi_sastra
Adventure in Story Land,conf-adventure-in-story-land,Tessia;Lala,Mizan,9786029498493,Indonesia,124,0,3.73,4,15,,fiksi_sastra
Cewek-Cewek Tulalit,conf-cewek-cewek-tulalit,Iwok Abqary,Mizan,9786028851688,Indonesia,188,0,3.89,4,28,6.0,fiksi_sastra
Haji Murad,conf-haji-murad,Leo Tolstoy,Serambi Ilmu Semesta,9789790244023,Indonesia,244,0,3.85,4,11147,,fiksi_sastra
Glonggong,conf-glonggong,Junaedi Sutiyono,Serambi Ilmu Semesta,9789791275484,Indonesia,302,0,3.68,4,101,30.0,fiksi_sastra
Gadis Korek Api,conf-gadis-korek-api,Hc Andersen;H.C. Andersen,Serambi Ilmu Semesta,9789790244627,Indonesia,276,0,4.09,4,25166,,fiksi_sastra
